Date,Open,High,Low,Close,Adj Close,Volume
2017-06-13,45140,45620,45140,45400,39327.17188,8624900
2017-06-14,45800,46060,45240,45360,39292.51172,10166700
2017-06-15,45680,45920,45180,45680,39569.71484,9657000
2017-06-16,45500,45940,45460,45580,39483.08203,17403450
2017-06-19,45580,46560,45560,46560,40332.00391,11303900
2017-06-20,47240,48140,47220,48140,41700.65234,15045000
2017-06-21,47740,48120,47480,47480,41128.93359,9973650
2017-06-22,47960,48080,47720,47960,41544.73438,11455800
2017-06-23,47600,47780,47420,47620,41250.20313,9515100
2017-06-26,47520,48360,47520,48280,41821.9375,8552800
2017-06-27,48220,48400,47900,48300,41839.25,9616750
2017-06-28,47600,48000,47560,47700,41319.50781,9572500
2017-06-29,48040,48320,47940,47940,41649.64844,8306550
2017-06-30,47500,47620,47100,47540,41302.14063,11877550
2017-07-03,47500,47780,47120,47220,41024.12109,6805550
2017-07-04,47160,47400,46900,47000,40832.98438,7961000
2017-07-05,46820,47680,46780,47580,41336.89063,10640250
2017-07-06,48000,48100,47720,48060,41753.89844,10923050
2017-07-07,47740,48120,47620,47860,41580.14453,8131900
2017-07-10,48500,48900,48320,48660,42275.17578,10792750
2017-07-11,48640,49000,48280,49000,42570.55859,9717800
2017-07-12,49000,50000,48840,49880,43335.09375,9486150
2017-07-13,50080,50940,50040,50560,43925.87109,16034150
2017-07-14,51000,51080,50420,50480,43856.36328,8239000
2017-07-17,50900,51020,50520,50640,43995.37109,8976100
2017-07-18,50420,50880,50360,50840,44169.12891,7084450
2017-07-19,50620,50820,50000,50740,44082.25,11157500
2017-07-20,50760,51320,50560,51200,44481.89844,8367600
2017-07-21,50860,51160,50520,51080,44377.64063,8449050
2017-07-24,50700,51000,50620,50860,44186.50781,7099750
2017-07-25,50500,50760,49940,50000,43439.35156,10810600
2017-07-26,49600,50020,49300,49840,43300.33984,11224800
2017-07-27,50000,50640,49560,49800,43265.59766,11449500
2017-07-28,49800,49800,47380,47760,41493.26953,26168300
2017-07-31,47420,48240,46920,48200,41875.53125,12701400
2017-08-01,48000,48840,47540,48600,42223.05469,11369500
2017-08-02,49200,49340,48600,49000,42570.55859,7777450
2017-08-03,49000,49000,47120,47780,41510.64453,15540800
2017-08-04,48160,48180,47500,47700,41441.13672,8359200
2017-08-07,47500,48080,47440,47580,41336.89063,7218250
2017-08-08,47980,48260,47480,47720,41458.51953,7979600
2017-08-09,47400,47400,46240,46280,40207.46094,14555400
2017-08-10,46200,46320,45460,45900,39877.31641,22986150
2017-08-11,45120,45300,44220,44620,38765.26953,25407300
2017-08-14,45120,45400,44720,45000,39095.41016,19185600
2017-08-16,46220,46380,46000,46200,40137.95703,21913650
2017-08-17,46960,47300,46740,47040,40867.73438,12415850
2017-08-18,46760,47240,46240,46900,40746.11328,10477950
2017-08-21,47240,47240,46580,46840,40693.99219,5103450
2017-08-22,46820,47160,46700,47000,40832.98438,7381750
2017-08-23,47780,47780,47180,47480,41250.00391,9384700
2017-08-24,47520,47660,47340,47520,41284.75,8657450
2017-08-25,47880,47880,46720,47020,40850.35938,11243550
2017-08-28,47020,47240,45960,46100,40051.08594,9962100
2017-08-29,45640,46080,45160,46080,40033.70313,12623650
2017-08-30,46380,46400,45960,46200,40137.95703,7513000
2017-08-31,46220,46640,46000,46320,40242.21094,11011700
2017-09-01,46460,46640,46300,46480,40381.22266,10641700
2017-09-04,45780,46360,45500,46040,39998.95313,7943500
2017-09-05,46240,46900,45960,46760,40624.48047,11716100
2017-09-06,46760,47180,46700,47000,40832.98438,10811050
2017-09-07,47000,48220,47000,48120,41806.03125,9676500
2017-09-08,48700,49180,48580,49080,42640.07031,10893000
2017-09-11,49700,50180,49500,49800,43265.59766,10374750
2017-09-12,50200,50220,49140,49600,43091.83203,12029750
2017-09-13,49820,50400,49440,49620,43109.21094,9357000
2017-09-14,50060,50320,49760,50300,43699.98438,14204750
2017-09-15,50300,50560,49860,50400,43786.86328,10757300
2017-09-18,50540,52480,50520,52480,45593.94141,11524950
2017-09-19,52500,52640,51780,52120,45281.17969,9850400
2017-09-20,52120,52500,51840,52220,45368.0625,9292750
2017-09-21,52220,52960,52220,52800,45871.95313,8839800
2017-09-25,53000,53680,53000,53620,46584.35938,9303100
2017-09-26,53620,53620,53620,53620,46584.35938,0
2017-09-27,52000,52200,51500,51680,44898.90625,10797000
2017-09-28,52260,52460,51260,51260,44654.99219,12025450
2017-09-29,51180,51620,50840,51280,44672.41797,12909400
2017-10-10,53360,53640,52800,52800,45996.55859,20519800
2017-10-11,53600,54760,53340,54640,47599.46875,13652150
2017-10-12,54840,55160,54100,54800,47738.84766,13890700
2017-10-13,54540,54840,53780,54000,47041.92969,12601650
2017-10-16,53980,54860,53760,53920,46972.24219,9769950
2017-10-17,54020,55380,54000,54800,47738.84766,10607800
2017-10-18,54820,55240,54040,54760,47704.00391,10110750
2017-10-19,54700,54700,52980,52980,46153.35547,12108700
2017-10-20,52800,54100,52800,53840,46902.54297,8027050
2017-10-23,54600,54640,54000,54300,47303.27344,8311050
2017-10-24,54700,54780,54040,54040,47076.77344,5806050
2017-10-25,54040,54420,53700,53900,46954.81641,5882850
2017-10-26,53720,53900,52400,52400,45648.09375,9776550
2017-10-27,52400,53320,52140,53080,46240.47656,7392500
2017-10-30,53780,54320,53700,54040,47076.77344,8196150
2017-10-31,54060,55440,53500,55080,47982.78125,13381550
2017-11-01,57500,57500,56180,57220,49847.02734,14510250
2017-11-02,57500,57520,56760,57060,49707.63672,10721050
2017-11-03,57060,57140,55860,56380,49115.26172,9935800
2017-11-06,56380,56500,55340,56380,49115.26172,9000950
2017-11-07,56380,56920,55860,56100,48871.34375,7464550
2017-11-08,56100,57060,55860,56760,49446.30078,8520200
2017-11-09,56920,56920,55900,56340,49080.41016,11994050
2017-11-10,55800,56540,55780,56400,49132.6875,6748800
2017-11-13,56400,56800,56100,56380,49115.26172,8806650
2017-11-14,56380,56740,55920,55920,48714.53516,6725000
2017-11-15,55920,56320,55320,55340,48209.26953,8816950
2017-11-16,55440,56000,55400,55780,48592.58203,7640700
2017-11-17,56400,56880,55820,55820,48627.41406,10733150
2017-11-20,55900,55980,55200,55200,48087.3125,9472750
2017-11-21,55400,55840,55280,55280,48157.00391,10324700
2017-11-22,55980,56200,55620,55960,48749.37891,7952950
2017-11-23,55960,55980,55020,55300,48174.41406,6272900
2017-11-24,55300,55500,55180,55460,48313.80859,4536200
2017-11-27,55360,55360,52640,52640,45857.17578,18128900
2017-11-28,52700,53280,51720,53280,46414.71094,13499400
2017-11-29,53200,53240,52500,52600,45822.32813,9590250
